Sum- MegaTrialsPerSecond,Column,,,,,
Row,8,32,64,128,256,Sum
1024,8.0869,13.1687,12.0937,12.4224,13.2231,58.9948
4096,47.6013,50.0782,41.926,50.3739,52.459,242.4384
16384,182.0768,185.2388,176.0055,155.3398,208.8091,907.47
65536,523.7852,590.5421,760.7727,773.4139,771.9563,3420.4702
262144,289.1328,1631.5476,2279.3545,1664.7023,2451.2268,8315.964
1048576,1151.5726,3324.0008,4649.922,5395.6859,5568.0545,20089.2358
2097152,1200.9969,3863.4677,5465.8884,5756.8517,6564.7599,22851.9646
Sum,3403.2525,9658.0439,13385.9628,13808.7899,15630.4887,55886.5378
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,8,32,64,128,256,
1024,8.0869,13.1687,12.0937,12.4224,13.2231,
4096,47.6013,50.0782,41.926,50.3739,52.459,
16384,182.0768,185.2388,176.0055,155.3398,208.8091,
65536,523.7852,590.5421,760.7727,773.4139,771.9563,
262144,289.1328,1631.5476,2279.3545,1664.7023,2451.2268,
1048576,1151.5726,3324.0008,4649.922,5395.6859,5568.0545,
2097152,1200.9969,3863.4677,5465.8884,5756.8517,6564.7599,
