Graph,Localsize,,,,,,,Graph,Localsize,,,,
Datasize,8,32,64,128,256,總計,,Datasize,8,32,64,128,256
4096,,50.96,33.68,54.28,35.41,174.33,,4096,40.41,50.96,33.68,54.28,35.41
16384,182.61,165.43,295.12,269.82,191.58,1104.56,,16384,182.61,165.43,295.12,269.82,191.58
65536,183.01,242.74,148.34,205.41,180.39,959.89,,65536,183.01,242.74,148.34,205.41,180.39
262144,293.75,316.64,513.57,490.69,331.24,1945.89,,262144,293.75,316.64,513.57,490.69,331.24
1048576,1178.87,1101.57,1289.24,1200.99,1539.32,6309.99,,1048576,1178.87,1101.57,1289.24,1200.99,1539.32
4194304,1780.39,3087.32,3756.03,3458.83,3886.93,15969.5,,4194304,1780.39,3087.32,3756.03,3458.83,3886.93
總計,3618.63,4964.66,6035.98,5680.02,6164.87,26464.16,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
4096,,50.96,33.68,54.28,35.41,174.33,,,,,,,
16384,182.61,165.43,295.12,269.82,191.58,1104.56,,,,,,,
65536,183.01,242.74,148.34,205.41,180.39,959.89,,,,,,,
262144,293.75,316.64,513.57,490.69,331.24,1945.89,,,,,,,
1048576,1178.87,1101.57,1289.24,1200.99,1539.32,6309.99,,,,,,,
4194304,1780.39,3087.32,3756.03,3458.83,3886.93,15969.5,,,,,,,
